Country;cod;First case date;Let1;Let2;Let3;Let4;Let5;Let6;Let7;Let8;Let9;Days;p60years;Sex;Literacy;Doctors;Beds;GDP;Health;Obesity;Passengers;Test;Quarantine;HIV/AIDS;Respiratory.infectious;Diabetes;Cardiovascular;Respiratory.diseases;Tobacco;Poverty;Urbanpop;Density;Nurse;Height
Netherlands;NLD;31/12/2019;0,164646612;0,152064597;0,143664359;0,134933775;0,13387866;0,134423623;0,132849574;0,131923757;0,130432891;160;0,51078402;0,49779056;99;3,507;4,7;;0,0816;0,438;43996044,58;24,774;69;3,999826631;88,05055335;129,2308858;673,7379285;252,1596906;25,9;0;91,49;409,4354;11,1043;877
Pakistan;PAK;31/12/2019;0,028800755;0,026038001;0,033213223;0,034041286;0,036328502;0,03161218;0,027905264;0,026689616;0,028537134;160;0,13108127;0,51461925;59;0,9753;0,6;314,5882105;0,0077;0,097;6880637;3,311;77;301,9948791;6721,713494;1764,677868;10490,79903;2592,925232;19,8;3,9;36,666;250,4698;0,5004;8611
Palestine;PSE;6/03/2020;;;;;;;;;;94;0,09499979;0,50722356;96,5;0,837;;;;;;8,811;47;40,7925794;66,63629626;85,47019544;258,2312123;47,58029272;;;76,164;820,163;0;
Panama;PAN;10/03/2020;0,049957663;0,042240996;0,039451595;0,0369218;0,034179994;0,033113439;0,032088551;0,031572617;0,030439973;90;0,23263417;0,50094616;95,41181;1,5699;2,3;65,0551;0,0476;0,531;12939350;16,866;8;35,48294557;36,12151077;50,31757632;121,1403837;38,43659796;6,2;2,5;67,709;57,2121;1,41;3475
Paraguay;PRY;8/03/2020;0,072463768;0,067226891;0,055900621;0,042253521;0,041841004;0,025;0,014864865;0,013205282;0,012443439;92;0,1897069;0,50848389;94,0208;1,366;1,3;40,49695378;0,0414;0,302;560631;5,464;;40,7925794;66,63629626;85,47019544;258,2312123;47,58029272;13,3;1,2;61,585;17,5353;1,1669;842
Peru;PER;7/03/2020;0,091458806;0,058498388;0,046187364;0,048987013;0,045179924;0,039568017;0,039629911;0,038290713;0,036010448;93;0,23382089;0,49662245;94,40827;1,27;1,6;222,0449705;0,033;0,407;17758527,27;36,548;1;110,7389641;614,5310664;235,79924;905,0220279;294,2816245;;3,4;77,907;25,6547;1,35;6768
Poland;POL;4/03/2020;0,062255286;0,054947166;0,056185703;0,061362966;0,057990506;0,058412483;0,055917229;0,052079639;0,049615094;96;0,49414882;0,48469293;99;2,3998;6,5;585,6638148;0,0451;0,539;9277538;28,742;2;8,609077702;316,5644037;318,1448275;3401,146109;435,2305208;28,2;0;60,058;121,0398;5,7221;2499
Papua New Guinea;PNG;21/03/2020;0;0;0;0;0;0;0;0;0;79;0,116193207;0,51037272;62;0,053;;;0,0138;0,513;964713;520;;68,05154076;250,4607153;106,6919744;421,8771087;137,2195714;36,2;38;13,169;19,3307;0,5125;
Portugal;PRT;3/03/2020;0,046055024;0,045582528;0,043391742;0,044263488;0,04443991;0,044878161;0,044895493;0,045718139;0,046241851;97;0,56482235;0,47288038;96,13759;3,3356;3,4;240,6745245;0,0605;0,442;17367956;92,269;9;42,12711809;112,6538079;117,727799;519,7277928;141,1336432;23,2;0,5;65,211;110,7255;6,3725;2351
Puerto Rico;PRI;28/03/2020;;;;;;;;;;72;0,49418621;0,47549906;92;1,75;;101,1309;;;;;25;8,609077702;316,5644037;318,1448275;3401,146109;435,2305208;;;93,578;322,5313;0;
